,Time,User,Tweet
0,2022-08-28 23:51:49+00:00,elonmusk,This will happen again – just a matter of time https://t.co/HeyZhZbAih
1,2022-08-28 23:35:36+00:00,elonmusk,Godspeed Artemis! https://t.co/8rZSQPamBf
2,2022-08-28 18:01:21+00:00,elonmusk,Please share some things in this thread which are working for you in life &amp; that others may find helpful!
3,2022-08-28 17:54:13+00:00,elonmusk,"From time to time, I will share some things that seem to be working for me, in case you find it helpful"
4,2022-08-28 17:40:56+00:00,elonmusk,The Zero fasting app is quite good
5,2022-08-28 17:40:02+00:00,elonmusk,"On advice of a good friend, I’ve been fasting periodically &amp; feel healthier"
6,2022-08-28 05:29:11+00:00,elonmusk,Squeezing extra performance out of Falcon 9 – almost at 17 metric tons to an actual useful orbit with booster &amp; fai… https://t.co/4lZ6aSVugM
7,2022-08-28 05:25:34+00:00,elonmusk,"RT @SpaceX: Starlink is now available in Norway! Additionally, to better reflect parity in purchasing power across our customers, we’ve adj…"
8,2022-08-26 22:27:59+00:00,elonmusk,Countries should be increasing nuclear power generation! It is insane from a national security standpoint &amp; bad for… https://t.co/nESJOIS0Qm
9,2022-08-26 04:31:43+00:00,elonmusk,(And I do think global warming is a major risk)
10,2022-08-26 04:29:21+00:00,elonmusk,Mark these words
11,2022-08-26 04:27:02+00:00,elonmusk,Population collapse due to low birth rates is a much bigger risk to civilization than global warming
12,2022-08-26 00:42:37+00:00,elonmusk,"Note, connectivity will be 2 to 4 Mbits per cell zone, so will work great for texting &amp; voice calls, but not high bandwidth"
13,2022-08-26 00:13:51+00:00,elonmusk,"Starlink V2, launching next year, will transmit direct to mobile phones, eliminating dead zones worldwide"
14,2022-08-26 00:06:33+00:00,elonmusk,RT @SpaceX: Watch live as Elon and @TMobile CEO and President Mike Sievert announce plans to increase connectivity → https://t.co/pxgvgTWzr…
15,2022-08-25 22:49:28+00:00,elonmusk,Livestream of big news in about an hour https://t.co/LSMIRYBxHH
16,2022-08-24 16:31:54+00:00,elonmusk,This is something special https://t.co/LSMIRYT8zf
17,2022-08-24 07:28:13+00:00,elonmusk,The course of civilization is not always upward https://t.co/8mr7pFWcnI
18,2022-08-24 05:44:21+00:00,elonmusk,Mechazilla loads Starship on launchpad https://t.co/LfkfjpAcZj
19,2022-08-23 17:52:14+00:00,elonmusk,"So spam prevalence *was* shared with the board, but the board chose not disclose that to the public … https://t.co/lXk48TFZL1"
